ID,name,information,weight,alias,birthDate,birthPlace,birthYear,debutTeam,draftYear,formerTeam,height,position,team
28,Aaron Brewer,Aaron Brewer (born July 5 1990) is an American football long snapper for the Denver Broncos of the National Football League.,108.864,NULL,7/5/1990,Orange California,1990-01-01T00:00:00+02:00,Denver Broncos,NULL,Denver Broncos,1.9558,{Long snapper|Linebacker},Denver Broncos
34,Aaron Corp,Aaron Corp (born March 6 1989) is an American football quarterback who is currently a free agent. He was signed as undrafted free agent by the Buffalo Bills in 2012 and was briefly with the Dallas Cowboys. He played college football for the University of Richmond. He also played for the University of Southern California (USC) prior.,99.792,NULL,3/6/1989,Villa Park California,1989-01-01T00:00:00+02:00,NULL,NULL,{Buffalo Bills|Dallas Cowboys|Miami Dolphins},1.9304,NULL,NULL
37,Aaron Dobson,Aaron Dobson (born July 23 1991) is an American football wide receiver for the New England Patriots of the National Football League (NFL). He played college football for Marshall University. He was drafted by the New England Patriots in the second round of the 2013 NFL Draft.,NULL,NULL,7/23/1991,Dunbar West Virginia,1991-01-01T00:00:00+02:00,New England Patriots,2013-01-01T00:00:00+02:00,New England Patriots,NULL,Wide receiver,New England Patriots
39,Aaron Elling,Aaron John Elling (born May 31 1978 Waconia Minnesota) is an American football placekicker who is currently a free agent in the National Football League. He was signed by the Minnesota Vikings as an undrafted free agent in 2002. He played college football at Wyoming.Elling has also been a member of the Tennessee Titans Baltimore Ravens Atlanta Falcons Jacksonville Jaguars Cincinnati Bengals and the Oakland Raiders.,90.72,NULL,5/31/1978,NULL,1978-01-01T00:00:00+02:00,Minnesota Vikings,NULL,{Atlanta Falcons|Baltimore Ravens|Cincinnati Bengals|Jacksonville Jaguars|Minnesota Vikings|Oakland Raiders|Tennessee Titans},1.8796,NULL,Free agent
40,Aaron Fairooz,Aaron Fairooz (born November 10 1983 in Arlington Texas) is a Canadian football wide receiver who is currently a free agent of the Arena Football League. Fairooz signed as a free agent on March 19 2010 with the Saskatchewan Roughriders. He was released by the Riders on September 6 2011.,95.256,NULL,11/10/1983,Arlington Texas,1983-01-01T00:00:00+02:00,Texas Revolution (IFL),NULL,{Spokane Shock|Hamilton Tiger-Cats|Saskatchewan Roughriders|Winnipeg Blue Bombers|Texas Revolution (IFL)},1.9812,Wide receiver,Free agent
41,Aaron Francisco,Aaron Francisco (born July 3 1983) was an American football safety who is currently a free agent. He was signed by the Arizona Cardinals as an undrafted free agent in 2005. He played college football at BYU.He has also been a member of the Carolina Panthers Indianapolis Colts and Detroit Lions.,96.1632,NULL,7/3/1983,Laie Hawaii,1983-01-01T00:00:00+02:00,Arizona Cardinals,NULL,{Arizona Cardinals|Carolina Panthers|Detroit Lions|Indianapolis Colts|Tennessee Titans},1.8796,NULL,NULL
42,Aaron Garcia (American football),Aaron Garcia (born October 20 1970) is an American arena football quarterback for the Jacksonville Sharks of the Arena Football League. He played college football at Sacramento State.,88.452,NULL,1970-10-20,Sacramento California,1970-01-01T00:00:00+02:00,Arizona Rattlers,NULL,{San Francisco 49ers|Arizona Rattlers|Cleveland Gladiators|New York Dragons|Orlando Predators|San Jose SaberCats|Jacksonville Sharks|Iowa Barnstormers|Connecticut Coyotes|San Antonio Talons},1.8542,NULL,Jacksonville Sharks
63,Aaron Pettrey,Aaron Pettrey (born June 17 1986 in Raceland Kentucky) is an American football placekicker for the Cleveland Gladiators of the Arena Football League. He was formerly a kicker for the Ohio State Buckeyes. Pettrey was signed to the Cincinnati Bengals' roster on November 16 2010 after a season-ending injury to Mike Nugent another former Buckeye. Pettrey was waived by the Bengals on November 30 2010. He was two for four on field goal attempts in two games.,90.2664,NULL,6/17/1986,NULL,1986-01-01T00:00:00+02:00,Cincinnati Bengals,NULL,{Carolina Panthers|Cincinnati Bengals|Detroit Lions|Cleveland Gladiators|Las Vegas Locomotives},1.8796,NULL,Cleveland Gladiators
65,Aaron Robbins,Aaron Robbins (born July 16 1983) is an American football player who is currently a member of the Jacksonville Sharks of the Arena Football League. He played as a tight end and defensive end for the University of Wyoming. He was assigned as a free agent by the Spokane Shock in 2010.,129.276,NULL,7/16/1983,NULL,1983-01-01T00:00:00+02:00,Texas Revolution (IFL),NULL,NULL,1.9304,NULL,{Pittsburgh Steelers|Spokane Shock|Jacksonville Sharks|Texas Revolution (IFL)}
66,Aaron Rodgers,Aaron Charles Rodgers (born December 2 1983) is an American football quarterback for the Green Bay Packers of the National Football League (NFL).,102.06,{Rodgers Aaron Charles|Rodgers Aaron C.},12/2/1983,Chico California,1983-01-01T00:00:00+02:00,Green Bay Packers,2005-01-01T00:00:00+02:00,Green Bay Packers,1.8796,Quarterback,Green Bay Packers
68,Aaron Rouse,Aaron Roosevelt Rouse (born on January 8 1984) is an American football safety for the Virginia Destroyers of the United Football League. He was drafted by the Green Bay Packers in the third round of the 2007 NFL Draft. He played college football for the Virginia Tech Hokies.Rouse has also played for the New York Giants Arizona Cardinals and Omaha Nighthawks.,101.1528,NULL,1/8/1984,Virginia Beach Virginia,1984-01-01T00:00:00+02:00,Green Bay Packers,2007-01-01T00:00:00+02:00,{Arizona Cardinals|Green Bay Packers|New York Giants|Virginia Destroyers|Omaha Nighthawks},1.9304,NULL,Virginia Destroyers
78,Aaron Williams (American football),Aaron Williams (born April 23 1990) is an American football safety for the Buffalo Bills of the National Football League (NFL). He was drafted by the Bills in the second round of the 2011 NFL Draft. He played college football at Texas.,90.2664,NULL,4/23/1990,San Jose California,1990-01-01T00:00:00+02:00,Buffalo Bills,2011-01-01T00:00:00+02:00,Buffalo Bills,1.8288,Safety (American and Canadian football position),Buffalo Bills
88,Abram Elam,Abram Abe Elam (born October 15 1981) is an American football safety who is currently a free agent in the National Football League. He played college football at Notre Dame and Kent State.He has also played for the New York Jets the Cleveland Browns and the Dallas Cowboys.,96.1632,NULL,10/15/1981,West Palm Beach Florida,1981-01-01T00:00:00+02:00,Dallas Cowboys,NULL,{Cleveland Browns|Dallas Cowboys|New York Jets|Kansas City Chiefs},1.8288,NULL,NULL
89,Abry Jones,Abry Jones (born September 8 1991) is an American football defensive end for the Jacksonville Jaguars of the National Football League (NFL). He was signed as an undrafted free agent by the Jaguars after the 2013 NFL Draft. He played college football at Georgia.,141.5232,NULL,9/8/1991,Georgia Bulldogs football,1991-01-01T00:00:00+02:00,Jacksonville Jaguars,NULL,Jacksonville Jaguars,1.9304,NULL,Jacksonville Jaguars
91,Ace Sanders,Tracy Ace Sanders (born November 11 1991) is an American football wide receiver for the Jacksonville Jaguars of the National Football League (NFL). Sanders played college football for the University of South Carolina. He was drafted in the fourth round of the 2013 NFL Draft by the Jacksonville Jaguars.,NULL,Sanders Ace,11/11/1991,Bradenton Florida,1991-01-01T00:00:00+02:00,NULL,2013-01-01T00:00:00+02:00,Jacksonville Jaguars,NULL,{Punt returner|Wide receiver},Jacksonville Jaguars
95,Adam Bergen,Adam Bergen (born September 3 1983) is an American football tight end. He was signed by the Arizona Cardinals as an undrafted free agent in 2005. He played college football at Lehigh.Bergen has also been a member of the Dallas Cowboys Baltimore Ravens and Denver Broncos.,121.1112,NULL,9/3/1983,Seaford New York,1983-01-01T00:00:00+02:00,Arizona Cardinals,NULL,{Arizona Cardinals|Baltimore Ravens|Dallas Cowboys|Denver Broncos|Las Vegas Locomotives},1.9304,NULL,NULL
101,Adam Gettis,Adam Gettis (born December 9 1988) is an American football guard for the Washington Redskins of the National Football League (NFL). He was drafted by the Redskins in the fifth round with the 141st overall pick of the 2012 NFL Draft. He played college football for the University of Iowa.,NULL,NULL,9/12/1988,Frankfort Illinois,1988-01-01T00:00:00+02:00,Washington Redskins,2012-01-01T00:00:00+02:00,Washington Redskins,NULL,NULL,Washington Redskins
102,Adam Goldberg (American football),Adam David Goldberg (born August 12 1980) is an American football offensive tackle for the St. Louis Rams of the National Football League. He was signed by the Minnesota Vikings as an undrafted free agent in 2003. He played college football at Wyoming.,144.2448,NULL,8/12/1980,NULL,1980-01-01T00:00:00+02:00,Minnesota Vikings,NULL,{Minnesota Vikings|St. Louis Rams},2.0066,NULL,NULL
105,Adam Hayward,Adam Hayward (born June 23 1984) is an American football linebacker for the Washington Redskins of the National Football League (NFL). He was drafted by the Tampa Bay Buccaneers in the sixth round of the 2007 NFL Draft. He played college football at Portland State.,108.864,NULL,6/23/1984,Westminster California,1984-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2007-01-01T00:00:00+02:00,{Tampa Bay Buccaneers|Washington Redskins},1.8542,Linebacker,Washington Redskins
107,Adam Jones (American football),Adam Bernard Pac Man Jones (born September 30 1983) is an American football cornerback for the Cincinnati Bengals of the National Football League (NFL). He was drafted in the first round with the sixth-overall pick in the 2005 NFL Draft by the Tennessee Titans. He played college football at West Virginia.Jones has also played for the Dallas Cowboys. He was suspended from the NFL for the entire 2007 season and for part of the 2008 season for off-the-field conduct.,84.3696,NULL,9/30/1983,Atlanta,NULL,Tennessee Titans,2005-01-01T00:00:00+02:00,{Cincinnati Bengals|Dallas Cowboys|Tennessee Titans},1.778,NULL,Cincinnati Bengals
110,Adam Podlesh,Adam Podlesh (born August 11 1983) is an American football punter for the Pittsburgh Steelers of the National Football League (NFL). He played college football for the Maryland Terrapins and is the only player in school history to be on the All-Atlantic Coast Conference team for four years. His punting average of 43.1 yards ranks behind second in school history.,90.72,NULL,8/11/1983,Rochester New York,1983-01-01T00:00:00+02:00,Jacksonville Jaguars,2007-01-01T00:00:00+02:00,{Chicago Bears|Jacksonville Jaguars|Pittsburgh Steelers},1.8034,NULL,Pittsburgh Steelers
112,Adam Smith (American football),Adam Smith (born April 9 1990) is an American football offensive guard for the Philadelphia Soul of the Arena Football League. Smith played college football at Western Kentucky.,NULL,NULL,4/9/1990,Murfreesboro Tennessee,1990-01-01T00:00:00+02:00,Philadelphia Soul,NULL,{Tampa Bay Buccaneers|Philadelphia Soul},NULL,Guard (American and Canadian football),Philadelphia Soul
113,Adam Snyder,Adam Richard Snyder (born January 30 1982) is an American football guard and offensive tackle for the San Francisco 49ers of the National Football League. He was drafted in the third round in the 2005 NFL Draft by the 49ers. He has also played for the Arizona Cardinals for one season.At the University of Oregon he was one of the most dominant and versatile linemen in the Pac-10 conference and the winner of the Morris Trophy as he played every position but center.,147.42,NULL,1/30/1982,Fullerton California,1982-01-01T00:00:00+02:00,San Francisco 49ers,2005-01-01T00:00:00+02:00,{Arizona Cardinals|San Francisco 49ers},1.9812,NULL,San Francisco 49ers
114,Adam Stenavich,Adam Walter Stenavich (born March 11 1983) is a former American football offensive tackle. He was signed by the Carolina Panthers as an undrafted free agent in 2006. He played college football at Michigan. Stenavich has also been a member of the Green Bay Packers and Dallas Cowboys.Stenavich is currently coaching at his alma mater as an offensive graduate assistant coach at Michigan.,140.616,NULL,3/11/1983,Marshfield Wisconsin,1983-01-01T00:00:00+02:00,Amsterdam Admirals,NULL,{Carolina Panthers|Dallas Cowboys|Green Bay Packers|Houston Texans},1.9304,NULL,NULL
116,Adam Terry,Adam Terry (born September 1 1982 in Queensbury New York) is an American football offensive tackle who is currently a free agent. He was drafted by the Baltimore Ravens in the second round of the 2005 NFL Draft. He played college football at Syracuse.He has also been a member of the Indianapolis Colts San Diego Chargers Jacksonville Jaguars and Tennessee Titans.,151.956,NULL,9/1/1982,Queensbury New York,1982-01-01T00:00:00+02:00,Baltimore Ravens,2005-01-01T00:00:00+02:00,{Baltimore Ravens|Indianapolis Colts|Jacksonville Jaguars|San Diego Chargers|Tennessee Titans},2.032,Tackle (American and Canadian football),Free agent
119,Adam Ulatoski,Adam Ulatoski (born December 17 1985) is an American football offensive tackle most recently for the Houston Texans. He played college football at the University of Texas at Austin and was considered one of the best offensive tackles of his class.,136.08,NULL,12/17/1985,NULL,1985-01-01T00:00:00+02:00,NULL,NULL,Houston Texans,1.9558,NULL,NULL
130,Adrian Arrington,Adrian Jarrard Arrington (born November 7 1985) is an American football wide receiver who is currently a free agent. He was drafted by the Saints in the seventh round of the 2008 NFL Draft and called up from the team's practice squad before Week 17 of the 2010 NFL season. He played college football at Michigan.,87.0912,NULL,11/7/1985,Cedar Rapids Iowa,1985-01-01T00:00:00+02:00,New Orleans Saints,2008-01-01T00:00:00+02:00,New Orleans Saints,1.905,NULL,NULL
131,Adrian Awasom,Adrian Awasom (born October 25 1983) is an American football defensive end who currently is a member of the BC Lions of the Canadian Football League. Previously he has been a member of the Toronto Argonauts of the CFL and the Minnesota Vikings of the National Football League. He was signed by the New York Giants as an undrafted free agent in 2005. He played college football at North Texas.,127.008,NULL,10/25/1983,Cameroon,1983-01-01T00:00:00+02:00,New York Giants,NULL,{Minnesota Vikings|New York Giants|Orlando Predators|BC Lions|Toronto Argonauts|Las Vegas Locomotives},1.9558,NULL,BC Lions
134,Adrian Clayborn,Adrian Clayborn (born July 6 1988) is an American football defensive end for the Tampa Bay Buccaneers of the National Football League (NFL). He played college football for the University of Iowa and earned All-American honors. The Buccaneers selected him in the first round of the 2011 NFL Draft.,127.008,NULL,7/6/1988,St. Louis,1988-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2011-01-01T00:00:00+02:00,Tampa Bay Buccaneers,1.905,NULL,Tampa Bay Buccaneers
144,Adrian Peterson,Adrian Lewis Peterson (born March 21 1985) is an American football running back for the Minnesota Vikings of the National Football League (NFL). Peterson was selected by the Vikings with the seventh overall pick in the 2007 NFL Draft. Peterson played college football for the University of Oklahoma. He set the NCAA freshman rushing record with 1925 yards as a true freshman during the 2004 season.,98.4312,{Peterson Adrian Lewis|All Day|Purple Jesus|The Diesel|AP},1985-03-21,Palestine Texas,1986-01-01T00:00:00+02:00,Minnesota Vikings,2007-01-01T00:00:00+02:00,Minnesota Vikings,1.8542,Running back,Minnesota Vikings
151,Adrien Clarke,Adrien Carlton Clarke (born March 26 1981) is an American football guard for the Virginia Destroyers of the United Football League. He was drafted by the Philadelphia Eagles in the seventh round of the 2004 NFL Draft. He played college football at Ohio State.Clarke has been a member of the New York Jets Baltimore Ravens and Florida Tuskers.,149.688,NULL,3/26/1981,NULL,1981-01-01T00:00:00+02:00,Philadelphia Eagles,2004-01-01T00:00:00+02:00,{Baltimore Ravens|New York Jets|Philadelphia Eagles|Virginia Destroyers},1.9558,NULL,Virginia Destroyers
152,Adrien Robinson,Adrien Robinson (born 23 September 1988) is an American football tight end for the New York Giants. He was drafted in the 4th round (127th overall) in the 2012 NFL Draft.,NULL,NULL,9/23/1988,Indianapolis,1988-01-01T00:00:00+02:00,NULL,2012-01-01T00:00:00+02:00,New York Giants,NULL,NULL,New York Giants
153,Adron Tennell,Adron Tennell (born September 10 1987) is an American football wide receiver for the Spokane Shock of the Arena Football League. He played college football at Oklahoma. He was considered one of the top wide receiver recruits in 2006.,90.72,NULL,9/10/1987,Irving Texas,1987-01-01T00:00:00+02:00,Spokane Shock,NULL,Spokane Shock,1.9304,NULL,Spokane Shock
157,Ahmad Brooks,Ahmad Kadar Brooks (born March 14 1984) is an American football linebacker for the San Francisco 49ers of the National Football League (NFL). He was drafted by the Cincinnati Bengals in the third round of the 2006 NFL Supplemental Draft. He played college football at Virginia.,117.4824,NULL,3/14/1984,Fairfax Virginia,1984-01-01T00:00:00+02:00,Cincinnati Bengals,NULL,{Cincinnati Bengals|San Francisco 49ers},1.905,NULL,San Francisco 49ers
158,Ahmad Carroll,Ahmad Raheem Carroll (born August 4 1983) is a retired American football cornerback. He was drafted by the Green Bay Packers 25th overall in the 2004 NFL Draft. He played college football at Arkansas.Carroll has also been a member of the Jacksonville Jaguars Orlando Predators Hartford Colonials Calgary Stampeders Arizona Rattlers and Toronto Argonauts.,86.184,NULL,8/4/1983,NULL,1983-01-01T00:00:00+02:00,Green Bay Packers,2004-01-01T00:00:00+02:00,{Green Bay Packers|Jacksonville Jaguars|New York Jets|Arizona Rattlers|Orlando Predators|Calgary Stampeders|Toronto Argonauts|Hartford Colonials|Virginia Destroyers},1.778,NULL,NULL
161,Ahmad Hawkins,Ahmad Hawkins (born December 10 1978 in Hampton Virginia) is an American football defensive back who is currently a free agent of the Arena Football League. He has also played for the Alabama Vipers. He was signed by the Colorado Crush as a street free agent in 2003. He played college football at Virginia.Hawkins has also played for the Berlin Thunder Nashville Kats and Grand Rapids Rampage.,86.6376,NULL,12/10/1978,Hampton Virginia,1978-01-01T00:00:00+02:00,Berlin Thunder,NULL,{Colorado Crush|Georgia Force|Nashville Kats|Berlin Thunder|Grand Rapids Rampage|Alabama Vipers},1.778,NULL,NULL
165,Ahmad Treaudo,Ahmad Rashad Treaudo (born April 15 1982 in New Orleans Louisiana) is an American football cornerback for the Sacramento Mountain Lions of the United Football League. He was signed by the New York Giants as an undrafted free agent in 2005. He played college football at Southern.Treaudo has also been a member of the San Francisco 49ers Atlanta Falcons Minnesota Vikings New Orleans VooDoo and Edmonton Eskimos.,82.1016,NULL,4/15/1982,Louisiana,1982-01-01T00:00:00+02:00,Atlanta Falcons,NULL,{Atlanta Falcons|Minnesota Vikings|New York Giants|San Francisco 49ers|Edmonton Eskimos|Sacramento Mountain Lions|New Orleans VooDoo},1.778,Cornerback,Sacramento Mountain Lions
167,Ahmard Hall,Ahmard Rashad Hall (born November 13 1979 in Galveston Texas) is an American football fullback who is currently a free agent. He was originally signed by the Titans as an undrafted free agent in 2006. He played college football at Texas.,109.7712,NULL,11/13/1979,Galveston Texas,1979-01-01T00:00:00+02:00,Tennessee Titans,NULL,Tennessee Titans,1.8034,NULL,NULL
169,Ahtyba Rubin,Ahtyba Rubin ROO-been born July 25 1986) is an American football defensive end for the Cleveland Browns of the National Football League. He was drafted by the Browns in the sixth round of the 2008 NFL Draft. He played college football at Iowa State.,149.688,NULL,7/25/1986,Fort Belvoir,1986-01-01T00:00:00+02:00,Cleveland Browns,2008-01-01T00:00:00+02:00,Cleveland Browns,1.8796,Defensive end,Cleveland Browns
171,Airese Currie,Airese K. Currie (born November 16 1982) is a professional American and Canadian football wide receiver for the Hamilton Tiger-Cats of the Canadian Football League. He was drafted by the Chicago Bears in the fifth round of the 2005 NFL Draft. He played college football for the Clemson Tigers.Currie has also been a member of the Seattle Seahawks and BC Lions.,83.916,NULL,11/16/1982,Columbia South Carolina,1982-01-01T00:00:00+02:00,Chicago Bears,2005-01-01T00:00:00+02:00,{Chicago Bears|Seattle Seahawks|Hamilton Tiger-Cats|BC Lions},1.8034,NULL,Hamilton Tiger-Cats
172,Akbar Gbaja-Biamila,Akbar Oluwakemi-Idowu Gbaja-Biamila (born May 6 1979) is a former American football defensive end who currently works as a sports analyst for NBC and NFL Network. He was signed by the Oakland Raiders as an undrafted free agent in 2003. He played college football at San Diego State. He currently works for NBC Sports as a college football analyst previously held the same position with CBS College Sports Network.,117.936,NULL,5/6/1979,California,1979-01-01T00:00:00+02:00,Oakland Raiders,NULL,{Miami Dolphins|Oakland Raiders|San Diego Chargers},1.9812,NULL,NULL
174,Akeem Ayers,Akeem Christopher Ayers (born July 10 1989) is an American football linebacker for the Tennessee Titans of the National Football League. He played for UCLA in college. At the end of the 2010 season his junior year he declared for the NFL draft.,115.2144,NULL,7/10/1989,Los Angeles,1989-01-01T00:00:00+02:00,Tennessee Titans,2011-01-01T00:00:00+02:00,Tennessee Titans,1.905,Linebacker,Tennessee Titans
175,Akeem Dent,Akeem Dent (born September 24 1987) is an American football linebacker for the Atlanta Falcons of the National Football League. He was drafted by the Falcons in the third round of the 2011 NFL Draft. He played college football at the University of Georgia.,NULL,NULL,1987-09-24,Atlanta,1987-01-01T00:00:00+02:00,Atlanta Falcons,2011-01-01T00:00:00+02:00,Atlanta Falcons,NULL,NULL,Atlanta Falcons
178,Akeem Spence,Akeem Spence (born November 29 1991) is an American football defensive tackle for the Tampa Bay Buccaneers of the National Football League (NFL). Spence played college football for the University of Illinois. The Tampa Bay Buccaneers picked him in the fourth round of the 2013 NFL Draft.,NULL,NULL,11/29/1991,Fort Walton Beach Florida,1991-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2013-01-01T00:00:00+02:00,Tampa Bay Buccaneers,NULL,Tackle (American and Canadian football),Tampa Bay Buccaneers
179,Akiem Hicks,Akiem Jamar Hicks (born November 16 1989) is an American football defensive end for the New Orleans Saints of the National Football League. He played college football at Sacramento City College and at the University of Regina. He was drafted in the 3rd round of the 2012 NFL Draft 89th overall by the New Orleans Saints.,NULL,NULL,11/16/1989,San Jose California,1989-01-01T00:00:00+02:00,New Orleans Saints,2012-01-01T00:00:00+02:00,New Orleans Saints,NULL,Defensive end,New Orleans Saints
183,Al Afalava,Al Afalava (born January 20 1987) is an American football safety. He was drafted by the Chicago Bears in the sixth round of the 2009 NFL Draft. He played in college for Oregon State University. He played high school football at Kahuku High & Intermediate School in Kahuku Hawai'i.,96.1632,NULL,1/20/1987,Laie Hawaii,1987-01-01T00:00:00+02:00,Chicago Bears,2009-01-01T00:00:00+02:00,{Chicago Bears|Indianapolis Colts|Tennessee Titans},1.8034,NULL,NULL
244,Al Woods (American football),Al Joseph Woods (born March 25 1987) is an American football defensive end for the Tennessee Titans of the National Football League. He was drafted by the New Orleans Saints in the fourth round of the 2010 NFL Draft. He played college football at LSU.Woods has also been a member of the Tampa Bay Buccaneers Seattle Seahawks and Pittsburgh Steelers.,139.2552,NULL,3/25/1987,Jennings Louisiana,1987-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2010-01-01T00:00:00+02:00,{New Orleans Saints|Pittsburgh Steelers|Seattle Seahawks|Tampa Bay Buccaneers|Tennessee Titans},1.9304,NULL,Tennessee Titans
249,Alameda Ta'amu,Alameda Ta'amu (born August 23 1990) is an American football nose tackle for the Arizona Cardinals of the National Football League (NFL). He played college football for the Washington Huskies.,NULL,NULL,8/23/1990,Kent Washington,1990-01-01T00:00:00+02:00,Arizona Cardinals,2012-01-01T00:00:00+02:00,{Arizona Cardinals|Pittsburgh Steelers},NULL,NULL,Arizona Cardinals
251,Alan Ball (American football),Alan Sheffield Ball (born March 29 1985) is an American football cornerback for the Jacksonville Jaguars of the National Football League. He was drafted by the Dallas Cowboys in the seventh round of the 2007 NFL Draft. He played college football at Illinois. Ball has also played for the Houston Texans and the Jacksonville Jaguars.,89.3592,NULL,3/29/1985,Detroit,1985-01-01T00:00:00+02:00,Dallas Cowboys,2007-01-01T00:00:00+02:00,{Dallas Cowboys|Houston Texans|Jacksonville Jaguars},1.8796,NULL,Jacksonville Jaguars
252,Alan Bonner,Michael Alan Bonner (born November 5 1990) is an American football wide receiver for the Houston Texans of the National Football League. He was drafted by the Texans in the sixth round of the 2013 NFL Draft. He played college football at Jacksonville State University.,NULL,Bonner Michael Alan,11/5/1990,Newnan Georgia,1990-01-01T00:00:00+02:00,NULL,2013-01-01T00:00:00+02:00,Houston Texans,NULL,{Wide receiver|Return specialist},Houston Texans
